pokemon,status_effect,result,current_iter,max_iter
mewtwo,PARALYSIS,False,18,30
mewtwo,PARALYSIS,False,19,30
mewtwo,PARALYSIS,False,20,30
mewtwo,PARALYSIS,False,21,30
mewtwo,PARALYSIS,False,22,30
mewtwo,PARALYSIS,False,23,30
mewtwo,PARALYSIS,False,24,30
mewtwo,PARALYSIS,False,25,30
mewtwo,PARALYSIS,False,26,30
mewtwo,PARALYSIS,False,27,30
mewtwo,PARALYSIS,False,28,30
mewtwo,PARALYSIS,False,29,30
mewtwo,PARALYSIS,False,30,30
mewtwo,BURN,False,1,30
mewtwo,BURN,False,2,30
mewtwo,BURN,False,3,30
mewtwo,BURN,False,4,30
mewtwo,BURN,False,5,30
mewtwo,BURN,False,6,30
mewtwo,BURN,False,7,30
mewtwo,BURN,False,8,30
mewtwo,BURN,False,9,30
mewtwo,BURN,False,10,30
mewtwo,BURN,False,11,30
mewtwo,BURN,False,12,30
mewtwo,BURN,False,13,30
mewtwo,BURN,False,14,30
mewtwo,BURN,False,15,30
mewtwo,BURN,False,16,30
mewtwo,BURN,False,17,30
mewtwo,BURN,False,18,30
mewtwo,BURN,False,19,30
